TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL,Actual_profitability,Error (%)
72.0,0.019136541968160503,2023.0,2023.0,0.0,601-660,22908.79357703728,410.1193903049933,13.030334980254759,0.019478672845387582,1.756438336136915
72.0,3597.4721786754717,2023.0,2024.0,12.0,601-660,17987.360893377358,410.1193903049933,13.030334980254759,3661.78924883047,1.756438336136917
72.0,2743.844924040662,2023.0,2025.0,24.0,601-660,13065.92820971744,410.1193903049933,13.030334980254759,,
72.0,1791.7890157326542,2023.0,2026.0,36.0,601-660,8144.495526057519,410.1193903049933,13.030334980254759,,
72.0,741.3044537514484,2023.0,2027.0,48.0,601-660,3223.0628423976013,410.1193903049933,13.030334980254759,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,410.1193903049933,13.030334980254759,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,410.1193903049933,13.030334980254759,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,410.1193903049933,13.030334980254759,,
48.0,0.07247769331843198,2023.0,2023.0,0.0,<600,42458.56943455976,720.550358442842,11.97591978879871,0.06817580013253713,6.310000289738826
48.0,6762.393026649132,2023.0,2024.0,12.0,<600,33811.965133245656,720.550358442842,11.97591978879871,6361.013082700411,6.310000289738821
48.0,5284.725774705626,2023.0,2025.0,24.0,<600,25165.36083193155,720.550358442842,11.97591978879871,,
48.0,3634.1264367358376,2023.0,2026.0,36.0,<600,16518.756530617444,720.550358442842,11.97591978879871,,
48.0,0.0,2023.0,2027.0,48.0,<600,0.0,720.550358442842,11.97591978879871,,
48.0,0.0,2023.0,2028.0,60.0,<600,0.0,720.550358442842,11.97591978879871,,
48.0,0.0,2023.0,2029.0,72.0,<600,0.0,720.550358442842,11.97591978879871,,
48.0,0.0,2023.0,2030.0,84.0,<600,0.0,720.550358442842,11.97591978879871,,
75.0,0.00583188935549398,2023.0,2023.0,0.0,<600,21404.603095240825,418.06744190525654,23.16427409854431,0.005648433041019824,3.2479151853596755
75.0,3277.5587584755494,2023.0,2024.0,12.0,<600,16387.793792377746,418.06744190525654,23.16427409854431,3174.455147681568,3.2479151853596657
75.0,2387.9067427980804,2023.0,2025.0,24.0,<600,11370.984489514669,418.06744190525654,23.16427409854431,,
75.0,1397.9185410633497,2023.0,2026.0,36.0,<600,6354.17518665159,418.06744190525654,23.16427409854431,,
