TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL
45.0,0.029111761987077135,2019.0,2019.0,0.0,<600,33248.45939208318,633.8389617602628,9.81726490122008
45.0,5128.478370192006,2019.0,2020.0,12.0,<600,25642.39185096003,633.8389617602628,9.81726490122008
45.0,3787.628105065744,2019.0,2021.0,24.0,<600,18036.324309836877,633.8389617602628,9.81726490122008
45.0,2294.656489117019,2019.0,2022.0,36.0,<600,10430.256768713723,633.8389617602628,9.81726490122008
45.0,0.0,2019.0,2023.0,48.0,<600,0.0,633.8389617602628,9.81726490122008
45.0,0.0,2019.0,2024.0,60.0,<600,0.0,633.8389617602628,9.81726490122008
45.0,0.0,2019.0,2025.0,72.0,<600,0.0,633.8389617602628,9.81726490122008
45.0,0.0,2019.0,2026.0,84.0,<600,0.0,633.8389617602628,9.81726490122008
48.0,0.04783025374715715,2019.0,2019.0,0.0,601-660,20154.35788551606,392.5443697067816,17.54744360562939
48.0,3088.7650898069364,2019.0,2020.0,12.0,601-660,15443.82544903468,392.5443697067816,17.54744360562939
48.0,2253.9915326361934,2019.0,2021.0,24.0,601-660,10733.293012553302,392.5443697067816,17.54744360562939
48.0,1325.0073267358227,2019.0,2022.0,36.0,601-660,6022.760576071922,392.5443697067816,17.54744360562939
48.0,0.0,2019.0,2023.0,48.0,601-660,0.0,392.5443697067816,17.54744360562939
48.0,0.0,2019.0,2024.0,60.0,601-660,0.0,392.5443697067816,17.54744360562939
48.0,0.0,2019.0,2025.0,72.0,601-660,0.0,392.5443697067816,17.54744360562939
48.0,0.0,2019.0,2026.0,84.0,601-660,0.0,392.5443697067816,17.54744360562939
48.0,0.08066789555429288,2019.0,2019.0,0.0,601-660,33229.814632432055,440.00946935271986,11.819763991758279
48.0,5589.940200039884,2019.0,2020.0,12.0,601-660,27949.701000199417,440.00946935271986,11.819763991758279
48.0,4760.6133472730235,2019.0,2021.0,24.0,601-660,22669.58736796678,440.00946935271986,11.819763991758279
48.0,3825.6842218615107,2019.0,2022.0,36.0,601-660,17389.47373573414,440.00946935271986,11.819763991758279
48.0,0.0,2019.0,2023.0,48.0,601-660,0.0,440.00946935271986,11.819763991758279
48.0,0.0,2019.0,2024.0,60.0,601-660,0.0,440.00946935271986,11.819763991758279
48.0,0.0,2019.0,2025.0,72.0,601-660,0.0,440.00946935271986,11.819763991758279
48.0,0.0,2019.0,2026.0,84.0,601-660,0.0,440.00946935271986,11.819763991758279
72.0,0.034418151680778795,2019.0,2019.0,0.0,601-660,42186.54057427501,788.391274258641,10.11027103956712
72.0,6545.169056634263,2019.0,2020.0,12.0,601-660,32725.845283171315,788.391274258641,10.11027103956712
72.0,4885.6814983342,2019.0,2021.0,24.0,601-660,23265.14999206762,788.391274258641,10.11027103956712
72.0,3036.980034212065,2019.0,2022.0,36.0,601-660,13804.454700963932,788.391274258641,10.11027103956712
72.0,999.064664267854,2019.0,2023.0,48.0,601-660,4343.759409860235,788.391274258641,10.11027103956712
72.0,0.0,2019.0,2024.0,60.0,601-660,0.0,788.391274258641,10.11027103956712
72.0,0.0,2019.0,2025.0,72.0,601-660,0.0,788.391274258641,10.11027103956712
72.0,0.0,2019.0,2026.0,84.0,601-660,0.0,788.391274258641,10.11027103956712
75.0,0.06973738611838641,2019.0,2019.0,0.0,601-660,26812.617662867982,535.8682974312939,10.05253638577366
75.0,4076.4396187384914,2019.0,2020.0,12.0,601-660,20382.198093692456,535.8682974312939,10.05253638577366
75.0,2929.873490148555,2019.0,2021.0,24.0,601-660,13951.778524516929,535.8682974312939,10.05253638577366
75.0,1654.6989701751086,2019.0,2022.0,36.0,601-660,7521.358955341402,535.8682974312939,10.05253638577366
75.0,250.91605881815138,2019.0,2023.0,48.0,601-660,1090.9393861658755,535.8682974312939,10.05253638577366
75.0,0.0,2019.0,2024.0,60.0,601-660,0.0,535.8682974312939,10.05253638577366
