OPB,interest_rate,tenure,credit_score_band,LTV,age,income,employment_length,debt_to_income,payment_history,loan_amount,loan_type,property_value,down_payment,loan_purpose,marital_status,education,residence_type,number_of_dependents,previous_loans,OPBAddition10
164502.9875399737,5.579310445716391,331,Poor,0.3208051842764122,24,45228.0219186594,21,0.4843103407589192,22.449377968044594,337912.59940530825,Personal,321795.78442345245,24458.052877871218,Debt Consolidation,Married,PhD,Other,1,7,164503.9875399737
100946.15365073868,6.44399259856397,205,Good,0.30662915349791275,22,60142.351451046365,24,0.3361606934844217,28.842910227893125,88924.68761742013,Personal,491894.94366411376,23170.058065687666,Refinance,Widowed,PhD,Other,1,8,100947.15365073868
348076.6639060028,5.6451101872288,96,Good,0.7451085620175781,74,120132.588169632,19,0.3806672557414943,97.14274010804564,216285.402650547,Business,438262.5256944313,82648.76762255335,Home Purchase,Divorced,Bachelor,Other,2,2,348077.6639060028
77841.05320701867,5.410132771679626,134,Fair,0.7506124629961624,56,153047.5718839797,15,0.3112404809202916,93.62411142411958,29981.455840368424,Auto,503426.4030558058,17107.832212970454,Home Purchase,Married,PhD,Other,0,6,77842.05320701867
225121.363385222,5.262033302576328,137,Good,0.5258391707513879,50,187999.88868542513,23,0.14839014242160742,0.21915854948314495,118167.100595484,Personal,372137.94433756627,77270.23078398849,Debt Consolidation,Married,Bachelor,Rent,0,2,225122.363385222
460837.6687318362,7.590186007813279,180,Good,0.3530519052415779,52,147337.37037179066,15,0.3469117140853573,9.659621232568327,314982.9595475528,Business,317667.4569968587,17893.55273099251,Refinance,Widowed,Bachelor,Other,0,2,460838.6687318362
438566.13783955347,6.289804584550428,184,Fair,0.424594511076735,46,140360.91444893216,9,0.20634875883671966,13.481412947985739,57601.40427971863,Auto,410286.7951654896,86900.05639511178,Debt Consolidation,Widowed,Bachelor,Own,0,5,438567.13783955347
56271.70314103157,7.157047350442923,176,Poor,0.6865216791021358,31,138914.5087421388,27,0.49573686151841434,98.48344550762037,389603.661571278,Auto,990214.9960005161,41214.93309543223,Refinance,Divorced,Master,Other,3,0,56272.70314103157
188302.0692807817,7.374429246655977,53,Poor,0.8750651333392585,64,120228.35443079167,9,0.4304623715673611,28.656287127316816,427351.96353799925,Auto,535256.9980485763,7908.931064347329,Home Purchase,Widowed,High School,Rent,3,0,188303.0692807817
121658.81970332089,8.242020716988996,96,Good,0.32016852269265367,38,181690.5353926968,2,0.12572447506149673,12.553329282623437,358917.5639211351,Personal,936261.2288602291,50859.007412228915,Debt Consolidation,Married,High School,Rent,3,9,121659.81970332089
429332.61081400636,3.714272944324661,232,Fair,0.5279181470317146,54,31587.759663785815,1,0.38454261654949284,43.627701567017766,112530.92826830248,Mortgage,491179.5457517941,71166.30758818096,Home Purchase,Single,Bachelor,Own,0,5,429333.61081400636
424398.7556472183,4.94393281187197,227,Good,0.8887812707955058,40,80546.64127181313,22,0.47067451864731724,44.20558463004052,394171.27312751766,Business,742275.5079831704,10781.291343145134,Debt Consolidation,Married,High School,Own,1,4,424399.7556472183
358967.9038340563,7.469836553829276,21,Excellent,0.5748605393974853,21,113845.53444144741,14,0.21363380640273977,47.54570417437402,290879.1227840081,Personal,591223.0562685863,72893.4894608215,Debt Consolidation,Single,Bachelor,Rent,2,5,358968.9038340563
375418.99266190536,5.64169636888847,206,Excellent,0.3000084423358155,41,164976.86375037773,3,0.2585193499952815,82.97472870996293,67282.76463969998,Auto,348212.0461313876,26013.94393367076,Refinance,Widowed,PhD,Rent,4,8,375419.99266190536
176625.03175891127,6.518228435257396,243,Fair,0.49551608726306406,19,89696.45002644646,15,0.42278292726483013,50.800980534999965,175497.52936579465,Personal,355580.1725943377,92817.91339599449,Home Purchase,Single,PhD,Rent,3,7,176626.03175891127
104972.89925210975,6.810662989840871,278,Excellent,0.5716557171156682,71,31955.431926318237,22,0.29886221881782415,6.767573943630845,371774.34008760675,Mortgage,988748.5525941246,18398.72483465348,Home Purchase,Widowed,High School,Other,4,1,104973.89925210975
495608.16360360524,7.19049834881996,54,Fair,0.7724496397080203,18,57170.20524701934,23,0.43745015658949693,92.14738749918239,329971.2452078633,Personal,769081.1154926622,20189.60900145467,Debt Consolidation,Married,Bachelor,Rent,2,8,495609.16360360524
293961.11587383144,4.629311759656409,128,Fair,0.632072319846837,51,62670.77087423585,7,0.31473483520817214,76.18061791483214,140377.31039062323,Business,457228.27240076417,39351.523827291654,Debt Consolidation,Single,High School,Other,0,4,293962.11587383144
453113.1643263244,4.938856819122009,240,Poor,0.7112198379577075,67,93732.41768679264,23,0.4114512880814606,20.77188928894088,75086.62448561584,Personal,912443.6194758223,81860.69165054365,Debt Consolidation,Widowed,Bachelor,Other,0,9,453114.1643263244
430059.96674346115,6.2911469436375,193,Good,0.84050856400284,66,192870.86079761919,2,0.49648181940922076,69.74503152560628,364469.25809501513,Business,772385.7104969564,97994.31666144292,Refinance,Widowed,PhD,Own,0,9,430060.96674346115
247923.64610565663,3.743837115415688,285,Fair,0.7286846189258223,43,44466.34642379526,27,0.1503789222117746,86.29032161806865,176337.42589011358,Personal,910518.4253865918,5469.0918046828565,Debt Consolidation,Widowed,PhD,Own,0,8,247924.64610565663
254968.25312995902,5.501288078184474,77,Excellent,0.4603681567048117,33,192404.6626863909,33,0.2453636234371973,68.88362366939464,230942.11084759355,Business,403274.20999906276,52964.37435071855,Business,Divorced,Master,Own,4,6,254969.25312995902
391629.3240646829,7.188108881332939,135,Fair,0.75038255765725,26,57068.751768122325,39,0.4390852614808288,31.709148199999394,376350.06775235373,Business,940737.7150158297,33245.104623592495,Business,Divorced,PhD,Other,1,7,391630.3240646829
415965.3385062611,7.418665374808016,138,Fair,0.4754323099830408,51,175344.02441338854,33,0.19302528179793066,60.396133714668935,13135.54152222243,Auto,694902.0492936525,19760.210564371904,Business,Single,Master,Rent,3,9,415966.3385062611
47602.787170383985,5.621190450462835,79,Poor,0.7629926583294209,62,151108.72556586564,21,0.209272014515612,30.53244352404061,424572.7145303488,Business,963600.1329271444,84717.58351131143,Home Purchase,Single,PhD,Rent,3,8,47603.787170383985
286862.64533774,6.936142432929344,194,Poor,0.7713624670012889,56,182222.13348203318,20,0.1399458617165201,36.99849908678116,289264.4293580732,Personal,769907.173198092,61980.77964694434,Business,Married,High School,Other,4,0,286863.64533774
454076.42503349815,7.095759521178805,157,Poor,0.38700553414873057,66,52554.087623497806,4,0.3377131953407482,67.4295629650716,383540.3286311199,Auto,661162.0257025037,81391.3265323907,Debt Consolidation,Single,PhD,Rent,4,0,454077.42503349815
422311.8309530329,4.843839669211368,88,Poor,0.5653105166910102,27,58581.21415848548,33,0.44457017768049767,18.40619056952627,325146.60337009473,Auto,318042.9122309716,20840.102824887428,Business,Divorced,High School,Other,2,1,422312.8309530329
369951.2473057807,7.4179250568226545,179,Good,0.5779931211829108,38,114185.24695759451,36,0.46592712076463105,93.2354256702387,115270.399528713,Mortgage,885351.0994610665,21475.512208738553,Business,Single,Master,Other,4,3,369952.2473057807
289954.971117561,6.337783747730018,32,Good,0.9101320171982583,70,151302.2526910523,26,0.10108011964389996,51.0795397072229,46075.34512320177,Auto,583700.8108252817,10985.908584498695,Refinance,Single,Master,Rent,2,4,289955.971117561
397855.8940947343,6.516507712497584,92,Poor,0.8165493212204429,28,35345.37109807615,27,0.4435226049177423,84.04791347617572,111316.23213469837,Mortgage,729894.427716647,65552.56416596149,Home Purchase,Married,Bachelor,Own,0,8,397856.8940947343
240637.06651035527,7.729507616870919,276,Good,0.37559651721561893,69,104501.44125462837,1,0.4632239571003951,55.55869112388412,355650.53838852805,Auto,683193.4345805004,83431.52456610139,Refinance,Married,Bachelor,Rent,4,0,240638.06651035527
46796.17860036631,6.232121343630815,174,Fair,0.8419419406754731,43,154735.6282745364,8,0.19690723140182242,56.489683905277424,362279.40721037204,Auto,789178.4282013975,93844.57239172165,Business,Single,Bachelor,Rent,2,8,46797.17860036631
64987.46241042768,4.75958293223874,347,Good,0.38758306645773377,18,185727.5316605668,17,0.13884662423406957,52.012786471419005,179462.47303500675,Business,638472.0519934553,93295.6838670414,Home Purchase,Widowed,Master,Own,2,3,64988.46241042768
86007.70194807462,4.676404133018642,237,Poor,0.8803250854124323,21,144521.867260047,19,0.22024009232663275,1.8901163801003373,409290.5666884145,Business,338492.26709093386,66708.06421971234,Debt Consolidation,Widowed,High School,Other,2,0,86008.70194807462
137810.3851945062,8.237026097725735,224,Excellent,0.9198548837038483,26,145533.0124001932,16,0.40314700530999736,98.02199793327357,52593.03474724294,Personal,527950.6425818161,5539.160824497268,Home Purchase,Married,Master,Other,4,4,137811.3851945062
306031.95786753146,7.6738354040608865,190,Fair,0.903360210134049,55,50290.179857044255,32,0.3256279001412082,27.240829317352443,156800.79471300286,Personal,976421.9639427849,55564.873815092375,Refinance,Single,PhD,Own,0,8,306032.95786753146
320733.3892161613,3.984089569351857,184,Good,0.774816349023518,46,173014.20426301792,11,0.22397998827643764,49.809843317301315,272187.70155034703,Business,321629.75966221513,96112.35424625197,Refinance,Widowed,Master,Other,2,5,320734.3892161613
192710.92305821617,6.145530486096524,173,Poor,0.9157271525217772,21,35905.40625614681,26,0.31115096493319805,12.248979415168115,271289.6421694724,Personal,362350.74241102056,20194.36300098692,Debt Consolidation,Married,High School,Other,0,6,192711.92305821617
444644.77034920605,6.473318523581998,90,Excellent,0.7151123457296176,59,116198.81738148845,36,0.19607646011186242,19.815909521432772,328753.2566399163,Personal,904087.5516029474,29581.652668268347,Debt Consolidation,Divorced,PhD,Rent,4,6,444645.77034920605
288513.469468683,6.439453752107994,82,Excellent,0.946916409851124,58,85999.76566594554,27,0.1218521423787947,8.733446615817364,381709.69771771267,Mortgage,827918.0892890552,63892.07525131243,Debt Consolidation,Married,Bachelor,Other,4,1,288514.469468683
193552.1099417873,6.901409663202471,295,Fair,0.679100925762379,49,65253.20863005449,23,0.40127273274455777,97.86030817791108,483180.0263481524,Personal,718505.4183719811,63803.29556203692,Refinance,Married,Master,Other,4,7,193553.1099417873
288802.76368061826,8.031991382237337,28,Excellent,0.7247772062735431,50,173408.79360040446,19,0.325438464937742,98.4566261054793,490040.673357949,Mortgage,971211.0541685516,93961.15422690978,Home Purchase,Divorced,High School,Other,3,6,288803.76368061826
462281.48272511706,7.194407014047339,135,Poor,0.3895008081440472,71,160388.57231828722,26,0.47797568363861453,14.84137096013578,455597.9039903318,Auto,238145.04626891154,67607.37204620457,Business,Single,High School,Own,4,4,462282.48272511706
426636.16449877125,7.990629140844634,178,Fair,0.8940188254585963,40,70344.04083235044,25,0.17939679993592805,75.05617654676075,327853.49274644983,Mortgage,990867.9670799724,13699.71773998389,Debt Consolidation,Single,Bachelor,Own,3,1,426637.16449877125
121951.14877463478,7.153409598763509,252,Good,0.569504837587114,23,73873.11688728735,15,0.40379898434989514,2.051394809957563,161177.99016090995,Auto,276831.37521929026,58553.816295080585,Debt Consolidation,Widowed,High School,Own,0,0,121952.14877463478
354031.4708678549,4.649503149033201,39,Excellent,0.4892073879581993,25,144072.31868095917,26,0.18786334103416294,81.56833564068666,99646.39517238589,Business,469253.91213680955,39539.92787564875,Refinance,Divorced,Bachelor,Rent,3,9,354032.4708678549
16044.326691324486,7.381069269807558,327,Excellent,0.9208980675525085,32,30980.512902790655,28,0.4812844564275195,43.22681055096596,24277.555888075523,Business,652338.662083642,21822.88578580729,Debt Consolidation,Married,PhD,Other,3,2,16045.326691324486
22421.075697456043,5.877777353527307,210,Good,0.5350664482054499,56,32090.713639097507,39,0.27024707497244094,8.231516334146471,201141.80707043438,Personal,846465.7203216016,30145.93957353805,Business,Divorced,High School,Other,2,4,22422.075697456043
236519.789560648,7.665314820300797,287,Good,0.7886561662664041,51,47727.94706247794,17,0.4991245685228879,61.435686374919825,296349.26798919955,Business,322069.9524271083,5752.979222958752,Debt Consolidation,Married,PhD,Rent,3,2,236520.789560648
366664.6358165668,7.173631620672188,103,Good,0.5234796701685489,48,191367.66373444424,8,0.45335948804047954,85.27090341474015,136299.9478111486,Auto,776111.3520931131,37127.65850608777,Home Purchase,Divorced,Bachelor,Rent,1,2,366665.6358165668
276988.19947571296,4.759838219061671,103,Excellent,0.42476084582388285,38,187318.79327190912,2,0.20438056520673917,66.02864262111558,418578.99845116975,Personal,838610.5309131782,7393.7605412107605,Debt Consolidation,Single,Master,Other,3,3,276989.19947571296
127015.31263024556,6.340201289614332,285,Poor,0.6145009749679209,36,31905.7996760388,22,0.36950560223978834,20.08098402410119,158170.0813188982,Auto,955643.8519204854,17186.6030100703,Debt Consolidation,Married,Master,Other,1,7,127016.31263024556
14198.462245559493,8.048487273646414,109,Poor,0.34680481871284136,19,95367.22867925964,13,0.23273258950276712,37.399218800419696,267279.17682687094,Auto,987829.8882186427,39743.45381133642,Refinance,Widowed,Master,Rent,4,2,14199.462245559493
200182.05132219085,6.04181375138956,315,Poor,0.7584313381537207,68,88103.84773144909,26,0.35507785790913016,22.207893627309193,37428.43531621821,Auto,133468.3064172501,44264.328043556394,Home Purchase,Divorced,PhD,Rent,2,4,200183.05132219085
57030.58895811121,6.309750549429667,24,Excellent,0.7053275068218614,59,104887.46514620777,16,0.14988468602717564,39.06800753234593,396702.59810833866,Personal,775115.4086584145,83014.88491470244,Refinance,Widowed,Master,Other,0,9,57031.58895811121
441134.41472945514,7.0645022945563944,143,Excellent,0.807286254395231,26,129324.56546052241,20,0.23126519253185385,50.38605417263612,265992.0580045199,Auto,898956.7782769931,70871.76170244545,Home Purchase,Single,Bachelor,Other,4,8,441135.41472945514
166381.5734772219,8.292558217070216,341,Poor,0.872997478673305,42,73173.3805276785,19,0.4618118100349925,66.39017386566589,492299.88941387954,Business,519363.66361729574,60931.37146640558,Home Purchase,Divorced,Bachelor,Rent,1,3,166382.5734772219
10163.58982285541,3.5431046687141263,33,Excellent,0.6555576282157134,24,182246.535675953,9,0.33278028557170863,69.35676758753007,189857.46731921216,Business,236510.40055403567,77037.30540243139,Home Purchase,Single,PhD,Other,4,1,10164.58982285541
156412.72903857272,4.3559240691038,148,Fair,0.4544209372214513,47,174730.74850963763,16,0.15528665615181578,57.44307908496925,362623.6859240286,Personal,758488.6547169416,34799.78039712987,Refinance,Married,PhD,Rent,3,0,156413.72903857272
302621.42951784254,8.488244029700436,248,Good,0.8963821302474217,21,60111.96417298745,31,0.14456737681815476,79.55591228425311,402309.36621666927,Auto,496411.8025735253,97820.87686945831,Home Purchase,Widowed,High School,Own,4,3,302622.42951784254
53424.50774030396,6.789061214068056,118,Excellent,0.38678576076883586,27,67188.28639306952,31,0.31861323843152956,63.07343639377203,72357.47390826701,Mortgage,953945.6228792352,25900.937977057285,Home Purchase,Married,PhD,Own,2,6,53425.50774030396
